"Device Name","Device ID","Date & Time [GMT]","Date & Time [Local]","Latitude","Longitude","Altitude","Fix Status","DOP","Temp [C]","Main [V]","Back [V]"
"C25M32",94300,1983-08-13 10:04:40,1983-08-13 18:04:40,-34.3154261,118.1915347,194.21,"3-D least-squares   (9 SVs)",1.8,16,4.05,0
"C25M32",94300,1983-08-14 00:00:40,1983-08-14 08:00:40,-34.4352839,118.1668503,208.24,"3-D least-squares   (9 SVs)",2,11,4.05,0
"C25M32",94300,1983-08-14 10:19:40,1983-08-14 18:19:40,-34.3154314,118.1915761,203.97,"3-D least-squares   (9 SVs)",1.8,16.5,4.05,0
"C25M32",94300,1983-08-14 12:00:21,1983-08-14 20:00:21,-34.3154642,118.1915967,202.18,"3-D least-squares   (5 SVs)",2,12.5,4.05,0
"C25M32",94300,1983-08-15 00:00:40,1983-08-15 08:00:40,-34.4502336,118.1277469,185.82,"3-D least-squares   (7 SVs)",2.4,13,4.05,0
"C25M32",94300,1983-08-15 12:00:40,1983-08-15 20:00:40,-34.3153878,118.1915819,196.88,"3-D least-squares   (9 SVs)",1.4,13,4.05,0
"C25M32",94300,1983-08-15 13:54:17,1983-08-15 21:54:17,-34.31536,118.1915708,199.62,"3-D least-squares   (7 SVs)",3.2,9.5,4.05,0
"C25M32",94300,1983-08-16 00:00:40,1983-08-16 08:00:40,-34.4385572,118.1136839,195.02,"3-D least-squares   (9 SVs)",1.6,13,4.05,0
"C25M32",94300,1983-08-16 12:00:40,1983-08-16 20:00:40,-34.3153397,118.1915039,194.07,"3-D least-squares   (7 SVs)",4,16,4.05,0
"C25M32",94300,1983-08-16 13:14:15,1983-08-16 21:14:15,-34.3153394,118.1915872,210.04,"3-D least-squares   (7 SVs)",2.8,13.5,4.05,0
"C25M32",94300,1983-08-17 00:01:05,1983-08-17 08:01:05,-34.3959942,118.1119992,274.87,"3-D least-squares   (6 SVs)",2.2,12.5,4.05,0
"C25M32",94300,1983-08-17 06:34:40,1983-08-17 14:34:40,-34.3154783,118.1915103,198.1,"3-D least-squares   (7 SVs)",2.8,18,4.05,0
"C25M32",94300,1983-08-17 12:00:40,1983-08-17 20:00:40,-34.3154756,118.1915156,196.81,"3-D least-squares   (9 SVs)",2.6,13.5,4.05,0
"C25M32",94300,1983-08-18 00:00:40,1983-08-18 08:00:40,-34.3867919,118.1221742,305.66,"3-D least-squares   (8 SVs)",2.2,8,4.05,0
"C25M32",94300,1983-08-18 12:00:40,1983-08-18 20:00:40,-34.3157725,118.1894314,196.45,"3-D least-squares   (5 SVs)",2.8,16,4.05,0
"C25M32",94300,1983-08-18 17:44:40,1983-08-19 01:44:40,-34.3158019,118.1894281,191.64,"3-D least-squares   (6 SVs)",2.4,9.5,4.05,0
"C25M32",94300,1983-08-19 12:24:30,1983-08-19 20:24:30,-34.3153528,118.1915739,206.12,"3-D least-squares   (9 SVs)",1.6,22,4.05,0
"C25M34",94961,1984-05-16 13:01:31,1984-05-16 21:01:31,-34.3920425,119.3754406,-23.01,"2-D least-squares   (3 SVs)",2,21.5,3.95,0
"C25M32",94300,1984-05-16 14:01:30,1984-05-16 22:01:30,NA,NA,NA,"0                   (1 SVs)",17.6,18,4.05,0
"C25M34",94961,1984-05-16 14:02:59,1984-05-16 22:02:59,-34.4535997,119.3757444,63.99,"3-D least-squares   (4 SVs)",23,17.5,3.95,0
"C25M32",94300,1984-05-16 15:01:31,1984-05-16 23:01:31,NA,NA,NA,"0                   (2 SVs)",17.8,16.5,4.05,0
"C25M34",94961,1984-05-16 15:02:16,1984-05-16 23:02:16,-34.4534067,119.3755872,107.61,"3-D least-squares   (5 SVs)",3.8,16,3.95,0
"C25M32",94300,1984-05-16 16:01:30,1984-05-17 00:01:30,NA,NA,NA,"0                   (0 SVs)",17.8,16,4.05,0
"C25M34",94961,1984-05-16 16:01:30,1984-05-17 00:01:30,NA,NA,NA,"0                   (2 SVs)",17.8,15.5,3.95,0
"C25M32",94300,1984-05-16 17:01:30,1984-05-17 01:01:30,NA,NA,NA,"0                   (0 SVs)",17.8,16,4.05,0
"C25M34",94961,1984-05-16 17:01:30,1984-05-17 01:01:30,NA,NA,NA,"0                   (2 SVs)",17.8,15.5,3.95,0
"C25M32",94300,1984-05-16 18:01:30,1984-05-17 02:01:30,NA,NA,NA,"0                   (0 SVs)",17.8,15.5,4.05,0
"C25M34",94961,1984-05-16 18:01:30,1984-05-17 02:01:30,NA,NA,NA,"0                   (2 SVs)",17.8,15,3.95,0
"C25M34",94961,1984-05-16 19:01:30,1984-05-17 03:01:30,NA,NA,NA,"0                   (2 SVs)",17.8,15,3.95,0
"C25M32",94300,1984-05-16 19:01:31,1984-05-17 03:01:31,NA,NA,NA,"0                   (2 SVs)",18,15.5,4.05,0
"C25M34",94961,1984-05-16 19:24:32,1984-05-17 03:24:32,NA,NA,NA,"0                   (5 SVs)",35.8,15.5,3.95,0
"C25M32",94300,1984-05-16 19:38:59,1984-05-17 03:38:59,NA,NA,NA,"0                   (2 SVs)",17.8,15.5,4.05,0
"C25M34",94961,1984-05-16 20:23:59,1984-05-17 04:23:59,-34.4534914,119.3755533,113.33,"2-D least-squares   (3 SVs)",4,14.5,3.95,0
"C25M32",94300,1984-05-16 20:39:31,1984-05-17 04:39:31,NA,NA,NA,"0                   (0 SVs)",17.8,15,4.05,0
"C25M32",94300,1984-05-16 21:38:46,1984-05-17 05:38:46,-34.4532947,119.3756231,17.85,"3-D least-squares   (5 SVs)",2.4,15,4.05,0
"C25M34",94961,1984-05-16 23:00:40,1984-05-17 07:00:40,-34.42824,119.3749592,5.75,"3-D least-squares   (6 SVs)",5.2,14.5,3.95,0
"C25M34",94961,1984-05-17 00:00:11,1984-05-17 08:00:11,-34.4034719,119.1423456,36.86,"3-D least-squares   (6 SVs)",2.8,11.5,3.95,0
"C25M34",94961,1984-05-17 01:00:41,1984-05-17 09:00:41,-34.4041978,119.1583856,27.28,"3-D least-squares   (7 SVs)",2.2,11,3.95,0
"C25M32",94300,1984-05-17 01:01:00,1984-05-17 09:01:00,-34.4338411,119.2208142,3.12,"3-D least-squares   (9 SVs)",1.8,16.5,4.05,0
"C25M32",94300,1984-05-17 02:00:12,1984-05-17 10:00:12,-34.4349836,119.2191625,9.27,"3-D least-squares   (8 SVs)",2.2,15.5,4.05,0
"C25M34",94961,1984-05-17 02:00:41,1984-05-17 10:00:41,-34.4325075,119.0484592,29.71,"3-D least-squares   (10 SVs)",2,11,3.95,0
"C25M32",94300,1984-05-17 03:00:11,1984-05-17 11:00:11,-34.4341597,119.2176033,6.41,"3-D least-squares   (5 SVs)",3,19.5,4.05,0
"C25M34",94961,1984-05-17 03:00:12,1984-05-17 11:00:12,-34.4326258,119.0703039,33.51,"3-D least-squares   (9 SVs)",2.2,11.5,3.95,0
"C25M34",94961,1984-05-17 04:00:11,1984-05-17 12:00:11,-34.41833,119.0790928,26.63,"3-D least-squares   (6 SVs)",3.2,13,3.95,0
"C25M32",94300,1984-05-17 04:00:40,1984-05-17 12:00:40,-34.4351394,119.2170356,5.26,"3-D least-squares   (10 SVs)",2,22.5,4.05,0
"C25M32",94300,1984-05-17 05:00:11,1984-05-17 13:00:11,-34.4349894,119.2166033,3.02,"3-D least-squares   (10 SVs)",1.8,23.5,4.05,0
"C25M34",94961,1984-05-17 05:00:41,1984-05-17 13:00:41,-34.4265908,119.0790467,30.32,"3-D least-squares   (8 SVs)",2.4,15,3.95,0
"C25M32",94300,1984-05-17 06:00:13,1984-05-17 14:00:13,-34.4349722,119.2166128,2.29,"3-D least-squares   (6 SVs)",2.6,23,4.05,0
"C25M34",94961,1984-05-17 06:00:31,1984-05-17 14:00:31,-34.4041503,119.1415847,31.4,"3-D least-squares   (13 SVs)",1.2,16.5,3.95,0
"C25M34",94961,1984-05-17 07:00:11,1984-05-17 15:00:11,-34.4153806,119.1827628,14.11,"3-D least-squares   (8 SVs)",2,17,3.95,0
"C25M32",94300,1984-05-17 07:00:13,1984-05-17 15:00:13,-34.434995,119.2165883,3.9,"3-D least-squares   (5 SVs)",4.2,22,4.05,0
"C25M34",94961,1984-05-17 08:00:40,1984-05-17 16:00:40,-34.3659553,119.2819008,16.54,"3-D least-squares   (12 SVs)",1.2,18,3.95,0
"C25M32",94300,1984-05-17 08:00:41,1984-05-17 16:00:41,-34.4349386,119.2168683,5.95,"3-D least-squares   (7 SVs)",2.4,18.5,4.05,0
